Schema,Name,Result data type,Argument data types,Type,Volatility,Parallel,Owner,Security,Access privileges,Language,Source code,Description
pg_catalog,lo_creat,oid,integer,func,volatile,unsafe,postgres,invoker,,internal,be_lo_creat,large object create
pg_catalog,lo_create,oid,oid,func,volatile,unsafe,postgres,invoker,,internal,be_lo_create,large object create
pg_catalog,lo_export,integer,"oid, text",func,volatile,unsafe,postgres,invoker,postgres=X/postgres,internal,be_lo_export,large object export
pg_catalog,lo_from_bytea,oid,"oid, bytea",func,volatile,unsafe,postgres,invoker,,internal,be_lo_from_bytea,create new large object with given content
pg_catalog,lo_get,bytea,oid,func,volatile,unsafe,postgres,invoker,,internal,be_lo_get,read entire large object
pg_catalog,lo_get,bytea,"oid, bigint, integer",func,volatile,unsafe,postgres,invoker,,internal,be_lo_get_fragment,read large object from offset for length
pg_catalog,lo_import,oid,text,func,volatile,unsafe,postgres,invoker,postgres=X/postgres,internal,be_lo_import,large object import
pg_catalog,lo_import,oid,"text, oid",func,volatile,unsafe,postgres,invoker,postgres=X/postgres,internal,be_lo_import_with_oid,large object import
pg_catalog,lo_lseek,integer,"integer, integer, integer",func,volatile,unsafe,postgres,invoker,,internal,be_lo_lseek,large object seek
pg_catalog,lo_lseek64,bigint,"integer, bigint, integer",func,volatile,unsafe,postgres,invoker,,internal,be_lo_lseek64,large object seek (64 bit)
pg_catalog,lo_open,integer,"oid, integer",func,volatile,unsafe,postgres,invoker,,internal,be_lo_open,large object open
pg_catalog,lo_put,void,"oid, bigint, bytea",func,volatile,unsafe,postgres,invoker,,internal,be_lo_put,write data at offset
pg_catalog,lo_tell,integer,integer,func,volatile,unsafe,postgres,invoker,,internal,be_lo_tell,large object position
pg_catalog,lo_tell64,bigint,integer,func,volatile,unsafe,postgres,invoker,,internal,be_lo_tell64,large object position (64 bit)
pg_catalog,lo_truncate,integer,"integer, integer",func,volatile,unsafe,postgres,invoker,,internal,be_lo_truncate,truncate large object
pg_catalog,lo_truncate64,integer,"integer, bigint",func,volatile,unsafe,postgres,invoker,,internal,be_lo_truncate64,truncate large object (64 bit)
pg_catalog,lo_unlink,integer,oid,func,volatile,unsafe,postgres,invoker,,internal,be_lo_unlink,large object unlink (delete)
pg_catalog,log,double precision,double precision,func,immutable,safe,postgres,invoker,,internal,dlog10,base 10 logarithm
pg_catalog,log,numeric,numeric,func,immutable,safe,postgres,invoker,,sql,"RETURN log((10)::numeric, $1)",base 10 logarithm
pg_catalog,log,numeric,"numeric, numeric",func,immutable,safe,postgres,invoker,,internal,numeric_log,logarithm base m of n
pg_catalog,log10,double precision,double precision,func,immutable,safe,postgres,invoker,,internal,dlog10,base 10 logarithm
pg_catalog,log10,numeric,numeric,func,immutable,safe,postgres,invoker,,sql,"RETURN log((10)::numeric, $1)",base 10 logarithm
pg_catalog,loread,bytea,"integer, integer",func,volatile,unsafe,postgres,invoker,,internal,be_loread,large object read
pg_catalog,lower,anyelement,anymultirange,func,immutable,safe,postgres,invoker,,internal,multirange_lower,lower bound of multirange
pg_catalog,lower,anyelement,anyrange,func,immutable,safe,postgres,invoker,,internal,range_lower,lower bound of range
pg_catalog,lower,text,text,func,immutable,safe,postgres,invoker,,internal,lower,lowercase
pg_catalog,lower_inc,boolean,anymultirange,func,immutable,safe,postgres,invoker,,internal,multirange_lower_inc,is the multirange's lower bound inclusive?
pg_catalog,lower_inc,boolean,anyrange,func,immutable,safe,postgres,invoker,,internal,range_lower_inc,is the range's lower bound inclusive?
pg_catalog,lower_inf,boolean,anymultirange,func,immutable,safe,postgres,invoker,,internal,multirange_lower_inf,is the multirange's lower bound infinite?
